id,name,brand,original_price,discount,price,discount_rate,quantity_sold,rating_average,seller_id,seller_name,days_since_joined,seller_avg_rating,is_official,review_count,total_follower
110938120,"Áo Phông Nam Lính Mỹ (2 Màu), Chất Liệu Mềm Mại, Thoáng Mát, Chống Nhăn, Phom Dáng Xuông Trẻ Trung, Năng Động (U289)-HÀNG CHÍNH HÃNG",US ARMY,499000,249500,249500,50,114,5.0,276201,US ARMY OFFICIAL,409,4.7324,True,2164,276
54762383,Áo sơ mi nam tay ngắn họa tiết chìm Khatoco A1MN438T2-THMK027-2010-N - Xanh đen,KHATOCO ,438000,309000,129000,71,141,4.8,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1102
20521995,Áo Thun Nam Khatoco A2MN378R2-VNMK004-2011-N,KHATOCO ,378000,249000,129000,66,308,4.8,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1102
108593536,"Combo 3 Quần Lót Nam Tam Giác 5S, Chất Cotton Premium Mềm Mịn, Thấm Hút Cực Tốt, Vận Động Thoải Mái (X3-SIP21003BRF)",5S,255000,120000,135000,47,284,4.5,25955,5S FASHION,1523,4.657,True,33440,11463
214927584,Combo 2 Quần lót nam boxer nhiều lưng cao cấp vải cotton co dãn 4 chiều sịp đùi nam CITYMEN - Giao màu ngẫu nhiên,CITYMEN,96000,45900,50100,48,48,5.0,9311,THỜI TRANG LIÊN MINH,1700,4.5213,False,18595,5144
99329103,"Quần Thể Thao Nam TSIMPLE, quần short tập gym vải thun lạnh thoáng mát, co giãn, chuẩn form nhiều màu",Tsimple,113000,24000,89000,21,1230,4.7,33099,TSIMPLE OFFICIAL STORE,1498,4.6514,True,3655,835
20521238,Áo Sơ Mi Nam Tay Ngắn Khatoco A1MN538T1-CNCR115-2010-N,KHATOCO ,538000,389000,149000,72,180,4.8,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1102
50328037,Áo Thun Nam Tay Ngắn Sọc Ngang Chìm Khatoco A2MN378R2-VNSC033-2111-N,KHATOCO ,378000,249000,129000,66,224,5.0,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1102
79435123,"Áo chống nắng nam cao cấp, thông hơi, chống nắng, chống tia UV, chống bám bụi – FORMEN SHOP – FMTHT024",OEM,250000,150000,100000,60,1007,4.7,17914,FORMEN SHOP,1599,4.5441,False,4558,2040
20518200,Quần Kaki Nam Khatoco Q2M528S0-VNMA007-1811-0003,KHATOCO ,528000,329000,199000,62,128,5.0,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1102
223767624,Combo 3 Quần lót nam boxer CITYMEN nhiều lưng cao cấp vải thun lạnh 4 chiều sịp đùi nam - Giao màu ngẫu nhiên,CITYMEN,118000,50900,67100,43,25,5.0,9311,THỜI TRANG LIÊN MINH,1700,4.5213,False,18595,5144
162389118,"Set 4 chiếc quần đùi nam thể thao Sport ngắn vải Thun Poly 2 Da thoáng mát, quần short nam co giãn 4 chiều thoải mái",AK Corner,490000,245000,245000,50,141,4.8,175215,A K CORNER,784,4.618,True,1424,243
104080625,"Combo 4 Quần Lót Nam hiệu CITYMEN vải thun lạnh 4 chiều lưng Hàn Quốc cao cấp, đồ lót - LMTK-HANAL ( Giao màu ngẫu nhiên )",CITYMEN,136000,68900,67100,51,543,4.6,9311,THỜI TRANG LIÊN MINH,1700,4.5213,False,18595,5144
