id,name,brand,original_price,discount,current_price,discount_rate,quantity_sold,rating_average,product_review_count,seller_id,seller_name,days_since_joined,seller_rating_average,is_official,seller_review_count,total_follower
81713853,"Quần short nam lưng phối thun,chất kaki thun",OEM,79000,0,79000,0,93,3.4,25,151014,Shop Thái Phát,962,4.0858,False,1329,130
15566322,Quần Âu Nam Đen Thêu Họa Tiết Ong ONG99 (Ong),OEM,135000,0,135000,0,21,4.5,6,36387,2 Store,1494,4.2261,False,982,51
73410289,Quần jogger kaki nam VNXK năng động,OEM,98000,0,98000,0,4,5,1,107387,Ruby Sen Hồng,1186,4.2727,False,2483,1043
109407748,"QUẦN SHOT THUN FROM RỘNG,CHẤT LIỆU VÃI THOÁNG MÁT,THIẾT KẾ SIÊU NGẦU THỜI TRANG KING STORE",OEM,62000,0,62000,0,3,3,2,198092,King Store 1,693,3.6737,False,567,145
169467895,Quần kaki nam dáng suông túi mỹ chất lượng cao màu xanh lá nhạt kaki trung niên co dáng đẹp,OEM,165000,25000,140000,15,20,4.5,7,194524,HẠNH HANH SHOP,672,4.6205,False,195,96
191390797,"Quần Âu Nam phong cách VINTAGE, Quần Âu Cao cấp Co Dãn Thoải mái, Dáng Công Sở Hàn Quốc - SU 261",OEM,150000,0,150000,0,9,5,1,285656,Seoul Shirts,373,4.763,False,346,37
171911347,Quần jean nam chất bò co giãn- nhiều mẫu giá rẻ thời trang TINA ms82,OEM,82500,0,82500,0,1,5,1,274167,Ngân shop2000,420,3.9167,False,12,8
89466346,Quần Kaki Baggy Nam Nữ Ống Suông mã Q002,OEM,95000,0,95000,0,80,4.5,30,91496,Jins Store,1285,4.1605,False,3047,841
67480649,Quần tây nam SlimFit ống côn Hàn Quốc - Quần âu nam Co dãn Chống nhăn giữ form - Anle Store,OEM,159000,0,159000,0,19,5,3,146185,Anle Store08,987,4.6053,False,38,8
91370448,"Cặp công sở nam nữ- Cặp văn phòng, xách tay đi làm, nhẹ-bền-nhiều ngăn C31054 [Miti]",Miti,499000,0,499000,0,5,4,1,432,Miti Group,2146,4.688,False,468,400
248126503,"Túi đeo chéo nam thời trang, Túi đeo ngực nam da bò cao cấp thời trang công sở",OEM,450000,0,450000,0,2,5,2,86475,BÁCH HOÁ TỔNG HỢP NEWSTAR,1299,4.1601,False,556,49
205508511,"Ví Da Nam, Bóp Nam Kiểu Ví Đứng Đựng Vừa Thẻ, Giấy Tờ Thời Trang Cao Cấp",OEM,350000,165000,185000,47,1,5,1,285244,Odinwatch,374,4.9744,False,39,8
193623089,Túi đeo chéo nam vải dù chống nước TC07,OEM,99900,0,99900,0,1,5,1,221676,ACC HD,616,4.5,False,42,6
11586535,"Túi Đeo Chéo, Túi Đeo Chéo Nam Da Bò Jeep (26 x  23 cm)",OEM,166000,0,166000,0,57,4.5,28,107264,MinhQuân Shop,1186,3.8473,False,1415,479
57490856,"Túi bao tử đeo chéo, đeo hông TROY ADS",TROY,48000,0,48000,0,5,5,3,14016,BALO DEAL,1641,4.5845,False,556,47
106244993,Ví Da Bò Sáp Nam Siêu Chất Full Da Bò Xịn,OEM,336000,168000,168000,50,6,4.5,2,194928,Viaipistore,702,4.6058,False,104,10
214496462,"Hộp Đựng Thẻ  , Card Visit , Name Card Bằng Hợp Kim Nhôm Chống Từ Tính Chống Nước Siêu Đẹp - Vàng - Gold",OEM,65000,0,65000,0,6,5,1,320939,HOME DECOR FURNISHINGS,149,4.6364,False,11,1
180720950,Ví Da Nam Da Bò Sáp Nguyên Miếng Kiểu Dáng Hàn Quốc,OEM,336000,168000,168000,50,1,5,1,286081,Yody watch,371,4.9714,False,35,3
149032142,Túi Đeo Vai Nam Vải Dù Chống Nước TC25,OEM,95000,0,95000,0,1,5,1,221676,ACC HD,616,4.5,False,42,6
112085329,Túi Bao Tử Đeo Chéo Ngực Vai Túi Bao Tử Thời Trang Cao Cấp Phong Cách Mới Năng Động Thể Thao Du Lịch Phù Hợp Yourwish Kabek TD311 Đi Làm Dã Ngoại Đi Chơi Đi Học,Kabek,315000,126000,189000,40,2,4.5,2,151254,yourwishshop,959,4.6675,False,1155,181
119385359,Ví nam ngắn 18 ngăn gập 3 WS102LEA - 100% da bò thật,OEM,189000,0,189000,0,18,5,5,161715,558 Store,875,4.4368,False,364,32
