id,name,brand,original_price,discount,price,discount_rate,quantity_sold,rating_average,seller_product_id,seller_avg_rating,is_official,review_count,total_follower
214736111,Quần lót nam boxer CITYMEN nhiều lưng cao cấp vải thun lạnh co dãn 4 chiều sịp đùi nam - Giao màu ngẫu nhiên,CITYMEN,40000,17900,22100,45,55.0,5.0,214736113.0,4.5436,False,4553.0,2040.0
99958075,"Quần đùi short gió nam thể thao Basic trẻ trung năng động, thoáng mát co giãn 4 chiều MRM Manlywear",MRM Manlywear,199000,70000,129000,35,2195.0,4.7,99958281.0,4.5436,False,4553.0,2040.0
99325284,"Áo Thể Thao Nam TSIMPLE thun nam tập gym ngắn tay vải thun lạnh thoáng mát, co giãn, chuẩn form nhiều màu",Tsimple,113000,24000,89000,21,2875.0,4.7,99325302.0,4.5436,False,4553.0,2040.0
125800026,"Áo khoác dù 2 mặt chống Nước LADOS - 2027 , Form đẹp, chống nắng, chống nước tốt",LADOS,379000,150000,229000,40,577.0,4.5,125800074.0,4.5436,False,4553.0,2040.0
214499507,Quần lót nam boxer CITYMEN nhiều lưng vải cotton co dãn 4 chiều sịp đùi nam cao cấp - Giao màu ngẫu nhiên,CITYMEN,48000,20800,27200,43,31.0,5.0,214499509.0,4.5436,False,4553.0,2040.0
31638205,Combo 4 quần lót nam cạp 1cm sợi tre Bamboo tự nhiên mềm mịn thấm hút mồ hôi - Màu Ngẫu nhiên,MRM Manlywear,300000,71000,229000,24,969.0,4.7,31638318.0,4.5436,False,4553.0,2040.0
20527249,Quần Short Nam Khatoco Q3M318R0-VNMA030-2009-018,KHATOCO ,318000,0,318000,0,222.0,5.0,20527322.0,4.5436,False,4553.0,2040.0
20518214,Quần Short Nam Khatoco Q3M318R0-VNMA034-2009-020,KHATOCO ,318000,0,318000,0,118.0,4.8,20518302.0,4.5436,False,4553.0,2040.0
79435123,"Áo chống nắng nam cao cấp, thông hơi, chống nắng, chống tia UV, chống bám bụi – FORMEN SHOP – FMTHT024",OEM,250000,141000,109000,56,1000.0,4.7,79435125.0,4.5436,False,4553.0,2040.0
162354106,Áo Chống Nắng Nam CARDINA 2 Lớp Chất Thun Lạnh Cao Cấp Chống Tia UV 2NM02,CARDINA,699000,310000,389000,44,727.0,5.0,162354128.0,4.5436,False,4553.0,2040.0
251773296,"Áo thun Polo Nam Coolmax - Premium nam tính, thanh lịch sang trọng MRM Manlywear",MRM Manlywear,450000,161000,289000,36,34.0,5.0,251773308.0,4.5436,False,4553.0,2040.0
143599914,"Áo thun ba lỗ nam, áo basic Aristino AC-21 màu trắng, chất liệu 100% cotton thấm hút mồ hôi cực thoáng mát, phù hợp thể dục, thể thao, mặc lót bên trong",Aristino,95000,15700,79300,17,683.0,4.7,143599920.0,4.5436,False,4553.0,2040.0
134647757,"Quần lót nam ARISTINO dáng Brief, quần sịp tam giác nam chất liệu cotton mềm mại, thoáng mát - ABF03707",Aristino,95000,23750,71250,25,214.0,4.7,134647759.0,4.5436,False,4553.0,2040.0
82819910,"Áo Polo nam cổ bẻ ngắn tay, chất liệu vải cá sấu cotton cao cấp, trẻ trung, năng động – FORMEN SHOP – FMPS150",ARADO FASHION,219000,86000,133000,39,690.0,4.8,82819934.0,4.5436,False,4553.0,2040.0
7599073,"Combo 5 Quần Lót Nam tam giác vải cotton co giãn 2 chiều hiệu CITYMEN, màu ngẫu nhiên, sịp nam - LMTK-MULTI2C",CITYMEN,100000,49900,50100,50,3176.0,4.5,7599075.0,4.5436,False,4553.0,2040.0
37943815,Áo khoác phao nam thời trang 3 lớp giữ nhiệt màu đen hàng Việt Nam xuất khẩu LC,OEM,179000,0,179000,0,649.0,4.5,37943817.0,4.5436,False,4553.0,2040.0
15993454,Áo Khoác Nam Áo Khoác Kaki Nam Đơn Giản Cao Cấp-KK34,N6,270000,101000,169000,37,213.0,3.4,15993462.0,4.5436,False,4553.0,2040.0
176663149,"Áo khoác dù cách nhiệt GOKING cho nam nữ, áo khoác gió hàng hiệu Việt Nam cao cấp, chống gió lạnh, giữ ấm cơ thể",GOKING,222000,2220,219780,1,134.0,4.8,176663181.0,4.5436,False,4553.0,2040.0
