id,name,brand,original_price,discount,current_price,discount_rate,quantity_sold,rating_average,product_review_count,seller_id,seller_name,days_since_joined,seller_rating_average,is_official,seller_review_count,total_follower
78501183,"Quần Jean Nam cao cấp co dãn 4 chiều Thương Hiệu Chandi, phong cách hàn quốc trẻ trung cá tính HD23",Chandi,299000,119000,180000,40,178,4.5,66,18150,CHANDI OFFICIAL STORE,1593,4.5967,True,10013,1663
11203758,Combo 4 Quần Lót Đùi Nam Thông Hơi Thoáng Mát (Giao Màu Ngẫu Nhiên),OEM,85000,0,85000,0,7215,4.5,879,10911,5Star,1680,4.3544,False,4216,469
205231567,"Combo 3 Quần Lót Nam Thun Cotton OneZ Dáng Trunk Co Giãn, Thoải Mái - QL1",ONEZ,199000,80000,119000,40,84,4.6,10,5646,ONEZ Official Store,1788,4.3817,True,3597,1202
126700166,"Quần Jean nam basic cao cấp LADOS - 4035 form slimfit, vải đẹp",LADOS,500000,185000,315000,37,543,4.7,170,175389,Thời Trang Lados,641,4.6101,True,2439,1835
115832681,"[SALE SỐC] Áo khoác blazer nam ,áo vest nam balzer nam phong cách Hàn Quốc - DUKI STORE",OEM,359000,0,359000,0,286,4.5,101,159708,dukistore,812,4.3512,False,242,162
102122394,Combo 4 Quần lót boxer nam - Quần sịp đùi su đúc lụa sữa cao cấp không đường may Micado,Micado,280000,121000,159000,43,129,4.5,27,4055,Venado,1756,4.2558,False,692,147
20521761,Áo Sơ Mi Nam Tay Ngắn Khatoco A1MN538T1-CNCR116-2010-N,KHATOCO ,538000,369000,169000,69,149,5.0,38,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1134
67516618,Áo sơ mi nam tay ngắn xanh nhạt họa tiết Khatoco A1MN388T2-ININ029-2111-N,KHATOCO ,388000,116400,271600,30,26,5.0,10,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1134
20526933,Quần Short Nam Khatoco Q3M378R0-CNMA003-2009-009,KHATOCO ,378000,229000,149000,61,115,4.7,33,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1134
20518143,Quần Short Nam Khatoco Q3M318R0-VNMA029-2009-018,KHATOCO ,318000,189000,129000,59,281,4.8,95,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1134
186133766,"Quần Short Kaki Nam US ARMY, Quần Túi Hộp Nam Phong Cách Lính Chất Liệu KaKi Cao Cấp, Kiểu Dáng Trẻ Trung Năng Động -HÀNG CHÍNH HÃNG",US ARMY,598000,299000,299000,50,159,4.7,57,276201,US ARMY OFFICIAL,409,4.7324,True,2164,276
107186342,"Quần Tây Âu Nam Co Giãn Nhẹ Dáng Ôm, Quần Nam Công Sở Lịch Sự Phù Hợp Mọi Hoàn Cảnh Thương Hiệu Chandi Mã NT334",Chandi,299000,119000,180000,40,741,4.3,236,18150,CHANDI OFFICIAL STORE,1593,4.5967,True,10013,1663
62365055,"Combo 4 Quần Lót Nam Boxer Thông Hơi Lưng Nhật Thoáng Mát , Quần Sịp Đùi Thông Hơi Cao cấp - (Giao Màu Ngẫu Nhiên)",CITYMEN,73000,0,73000,0,302,4.5,46,160608,AT HOME,879,4.3769,False,3157,290
155494342,Áo thun unisex MonsterX Love Wind phông tay lỡ nam nữ form rộng Oversize,OEM,109000,0,109000,0,3,5.0,3,146610,Thời trang Unisex MonsterX,980,4.3869,False,610,489
162033266,Áo POLO Nam- Áo thun Nam Ngắn tay có cổ Vải Cotton Cá Sấu Cao Cấp,OEM,159000,0,159000,0,19,3.9,8,243988,DazzieMenswear,539,4.3515,False,478,213
91588865,Áo thun nam cổ bẻ chất vải thun cá sấu,OEM,89000,0,89000,0,18,3.9,9,147206,Chippro Shop,980,4.1733,False,202,55
151801252,QUẦN LÓT NAM - Dạng Dây NỔI BẬT- Nâng Mông Nhẹ - Mặc Cực Đã,OEM,59000,0,59000,0,37,5.0,11,254423,THE GEM,510,4.7453,False,106,20
146080196,Quần kaki nam ZENTOMAN trung niên thanh niên ống suông co giãn mềm mịn trơn cao cấp QKK21,Zentoman,333000,0,333000,0,54,4.0,10,125077,Zento Man,797,3.697,False,99,66
58987438,Áo khoác jean nam thời trang cao cấp 02,OEM,195000,0,195000,0,97,4.3,33,62358,Hương Nemo Style,1398,3.9105,False,5542,857
158790448,"Quần jogger nam trơn chất gió mềm mịn phối màu Gradient, phong cách đường phố, hàn quốc",OEM,165000,0,165000,0,61,4.7,18,250052,GOLOV STORE,523,4.4728,False,459,128
53302423,Quần short thun nam lật lai Phúc An màu xám 1049,Phúc An,42300,0,42300,0,18,4.8,4,5961,Phúc An,1784,4.2089,False,1034,137
161028544,"Quần Áo Bảo Hộ Lao Động , Bộ Lao Động Phối Màu Vải Kaki Dày Cao Cấp Nhiều Mẫu",OEM,185000,0,185000,0,147,4.7,40,263385,Shop Bé Gạooo,461,4.3647,False,85,8
35193606,[FREEMAN] Combo 5 quần lót nam 6034,Freeman,195000,39000,156000,20,150,4.3,44,7176,FREEMAN & JOBELLI,1749,4.4967,False,451,446
72295699,"ÁO THUN NAM DÀI TAY CỔ BẺ MẪU MỚI NHIỀU MÀU, 3 SIZE(PHOM 50-75KG), LOGO THÊU, VẢI 100% COTTON CAO CẤP",OEM,190000,0,190000,0,77,4.5,35,13987,Mymy shop,1638,4.3821,False,602,86
176789430,Áo bơi nam dài tay 402,OEM,144000,0,144000,0,23,4.0,6,225946,khangtranduyshop,595,4.463,False,108,66
180747208,Quần đùi nam bigsize thể thao mặc nhà,OEM,31000,0,31000,0,20,4.0,4,87973,Hoàng Kim Kiệt,1273,3.5798,False,721,112
191219954,"Áo Thun Nam, Áo Polo Nam Có Cổ Côtton Cao Cấp mẫu mới 2022 phối sọc cực đẹp 4 màu sang trọng lịch lãm",OEM,75000,0,75000,0,22,4.1,7,204989,Shopmapki,670,4.198,False,293,52
90219503,Áo Thun Nam Nữ From Rộng - Hình Con Mèo Cực Dễ Thương,OEM,26000,0,26000,0,46,4.1,9,180638,FASHION TREND,756,3.5251,False,4654,1464
13533669,"Áo lót nam cao cấp GOKING, áo thun ba lỗ nam 100% cotton thoáng mát, thấm hút mồ hôi, khử mùi, kháng khuẩn",GOKING,139000,0,139000,0,178,4.8,36,18138,GOKING,1594,4.6655,False,9088,2678
20526245,Áo Sơ Mi Nam Tay Dài Khatoco A1MD598T1-THCR081-2005-D- Xanh,KHATOCO ,598000,409000,189000,68,17,5.0,3,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1134
31201905,Áo thun nam tay ngắn Khatoco A2MN378R2-VNMA036-1811-N,KHATOCO ,378000,249000,129000,66,41,5.0,3,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1134
67516385,Áo sơ mi nam tay dài caro xanh họa tiết chìm Khatoco A1MD388T1-CNCR097-2112-D,KHATOCO ,388000,116400,271600,30,13,5.0,4,46647,THỜI TRANG KHATOCO,1458,4.7407,True,4905,1134
